date,icao,weather_delay
2015-11-17 21:35:00+00:00,KBNA,32.0
2015-11-19 21:00:00+00:00,KBNA,105.0
2015-11-20 21:00:00+00:00,KBNA,17.0
2015-11-21 22:20:00+00:00,KBNA,155.0
2015-12-01 16:05:00+00:00,KBNA,50.0
2015-12-02 16:37:00+00:00,KBNA,4.0
2015-12-07 12:00:00+00:00,KBNA,261.0
2015-12-07 13:55:00+00:00,KBNA,148.0
2015-12-07 15:10:00+00:00,KBNA,28.0
2015-12-12 14:00:00+00:00,KBNA,52.0
2015-12-14 16:55:00+00:00,KBNA,66.0
2015-12-15 14:15:00+00:00,KBNA,50.0
2015-12-23 16:25:00+00:00,KBNA,116.0
2015-12-23 20:29:00+00:00,KBNA,3.0
2015-12-23 21:41:00+00:00,KBNA,15.0
2015-12-23 23:24:00+00:00,KBNA,21.0
2015-12-24 02:00:00+00:00,KBNA,7.0
2015-12-25 12:00:00+00:00,KBNA,64.0
2015-12-25 12:10:00+00:00,KBNA,46.0
2015-12-25 12:29:00+00:00,KBNA,16.0
2015-12-25 12:40:00+00:00,KBNA,26.0
2015-12-25 12:58:00+00:00,KBNA,15.0
2015-12-25 13:30:00+00:00,KBNA,33.0
2015-12-25 13:45:00+00:00,KBNA,16.0
2015-12-26 12:25:00+00:00,KBNA,150.0
2015-12-27 02:05:00+00:00,KBNA,183.0
2015-12-27 12:00:00+00:00,KBNA,8.0
2015-12-27 19:20:00+00:00,KBNA,8.0
2015-12-27 22:45:00+00:00,KBNA,12.0
2015-12-27 23:38:00+00:00,KBNA,2.0
2015-12-28 18:39:00+00:00,KBNA,12.0
2015-12-28 20:24:00+00:00,KBNA,9.0
2015-12-28 22:45:00+00:00,KBNA,11.0
2015-12-29 01:03:00+00:00,KBNA,5.0
2015-12-29 19:20:00+00:00,KBNA,2.0
2015-12-29 20:29:00+00:00,KBNA,6.0
2015-12-30 15:10:00+00:00,KBNA,24.0
2015-12-31 03:00:00+00:00,KBNA,1.0
2016-01-07 12:58:00+00:00,KBNA,4.0
2016-01-08 14:25:00+00:00,KBNA,141.0
2016-01-08 23:59:00+00:00,KBNA,145.0
2016-01-09 21:25:00+00:00,KBNA,81.0
2016-01-10 12:25:00+00:00,KBNA,15.0
2016-01-10 13:35:00+00:00,KBNA,44.0
2016-01-10 14:40:00+00:00,KBNA,196.0
2016-01-18 21:15:00+00:00,KBNA,66.0
2016-01-19 21:15:00+00:00,KBNA,25.0
2016-01-20 12:15:00+00:00,KBNA,79.0
2016-01-20 12:20:00+00:00,KBNA,63.0
2016-01-20 12:25:00+00:00,KBNA,124.0
2016-01-20 12:35:00+00:00,KBNA,82.0
2016-01-20 12:40:00+00:00,KBNA,333.0
2016-01-20 12:45:00+00:00,KBNA,20.0
2016-01-20 12:58:00+00:00,KBNA,212.0
2016-01-20 13:23:00+00:00,KBNA,228.0
2016-01-20 13:25:00+00:00,KBNA,156.0
2016-01-20 14:00:00+00:00,KBNA,205.0
