date,icao,weather_delay,wind_speed,wind_gust,ceiling,visibility,temp,dew_pnt,pressure
2015-06-30 02:15:00+00:00,KBNA,15.0,5,36,22000,14484,222,217,10127
2015-06-30 02:20:00+00:00,KBNA,9.0,5,36,22000,14484,222,217,10127
2015-06-30 02:30:00+00:00,KBNA,11.0,5,36,22000,14484,222,217,10127
2015-07-01 00:35:00+00:00,KBNA,19.0,5,21,7620,16093,261,206,10124
2015-07-01 17:10:00+00:00,KBNA,37.0,5,26,3353,9656,250,239,10155
2015-07-01 18:17:00+00:00,KBNA,45.0,5,41,1067,6437,206,200,10169
2015-07-01 19:00:00+00:00,KBNA,30.0,5,21,2743,4828,211,211,10155
2015-07-02 10:00:00+00:00,KBNA,200.0,5,21,396,11265,217,217,10118
2015-07-02 12:45:00+00:00,KBNA,23.0,5,15,1158,2414,211,211,10133
2015-07-02 12:50:00+00:00,KBNA,12.0,5,15,1158,2414,211,211,10133
2015-07-02 12:55:00+00:00,KBNA,11.0,5,15,1158,2414,211,211,10133
2015-07-02 12:55:00+00:00,KBNA,15.0,5,15,1158,2414,211,211,10133
2015-07-02 13:00:00+00:00,KBNA,13.0,5,15,1158,2414,211,211,10133
2015-07-03 20:43:00+00:00,KBNA,35.0,5,51,1494,16093,244,211,10119
2015-07-05 22:40:00+00:00,KBNA,66.0,5,15,2896,16093,283,206,10168
2015-07-06 21:35:00+00:00,KBNA,47.0,5,26,1981,16093,294,222,10175
2015-07-07 00:20:00+00:00,KBNA,42.0,5,31,22000,16093,289,222,10163
2015-07-07 11:30:00+00:00,KBNA,66.0,5,41,3962,16093,239,217,10178
2015-07-07 22:12:00+00:00,KBNA,2.0,5,36,7620,16093,306,222,10161
2015-07-08 00:22:00+00:00,KBNA,10.0,5,15,1036,9656,228,211,10170
2015-07-08 20:05:00+00:00,KBNA,60.0,5,46,7620,16093,322,217,10181
2015-07-08 22:05:00+00:00,KBNA,2.0,5,36,7620,16093,317,217,10173
2015-07-10 00:35:00+00:00,KBNA,92.0,5,15,22000,16093,294,222,10175
2015-07-10 19:00:00+00:00,KBNA,3.0,5,41,22000,16093,328,211,10194
2015-07-10 23:05:00+00:00,KBNA,35.0,5,46,22000,16093,328,211,10181
2015-07-12 17:10:00+00:00,KBNA,13.0,5,36,2134,16093,322,239,10164
2015-07-12 19:05:00+00:00,KBNA,3.0,5,46,2438,16093,333,233,10148
2015-07-13 11:15:00+00:00,KBNA,76.0,5,15,22000,16093,278,239,10134
2015-07-14 02:15:00+00:00,KBNA,90.0,5,26,22000,16093,294,233,10094
2015-07-14 18:00:00+00:00,KBNA,39.0,5,36,853,16093,322,261,10076
2015-07-14 18:55:00+00:00,KBNA,39.0,5,41,2134,16093,328,267,10061
2015-07-14 19:00:00+00:00,KBNA,17.0,5,41,2134,16093,328,267,10061
2015-07-14 19:20:00+00:00,KBNA,24.0,5,41,2134,16093,328,267,10061
2015-07-14 19:22:00+00:00,KBNA,32.0,5,41,2134,16093,328,267,10061
2015-07-14 19:23:00+00:00,KBNA,40.0,5,41,2134,16093,328,267,10061
2015-07-14 19:29:00+00:00,KBNA,37.0,5,36,1372,16093,300,222,10047
2015-07-14 19:35:00+00:00,KBNA,31.0,5,36,1372,16093,300,222,10047
2015-07-14 19:40:00+00:00,KBNA,27.0,5,36,1372,16093,300,222,10047
